Uniprot ID	RefSeq	Gene ID	Protein Entry 	Protein names
A0A0R0I901	XP_006586612.1;	GLYMA.09G014000	A0A0R0I901_SOYBN	Acyl carrier protein
I1L3R2	XP_006587408.1;	GLYMA.09G160200	I1L3R2_SOYBN	SMP-LTD domain-containing protein
A0A0R0L4E4		GLYMA.01G003200	A0A0R0L4E4_SOYBN	Acetyltransf_11 domain-containing protein
I1MEJ6	XP_003547147.1;	GLYMA.15G074700	I1MEJ6_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1KWU8	XP_003531926.1;	GLYMA.08G261100	I1KWU8_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0K0Z2	XP_006579399.1;	GLYMA.05G245000	A0A0R0K0Z2_SOYBN	S5A_REDUCTASE domain-containing protein
C6T3G1	NP_001235625.1;	GLYMA.08G279700	C6T3G1_SOYBN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)
A0A0R0L8I7		GLYMA.02G267100	A0A0R0L8I7_SOYBN	Abhydro_lipase domain-containing protein
I1LY35	XP_003541296.1;XP_006593942.1;XP_006593943.1;	GLYMA.13G108100	I1LY35_SOYBN	Uncharacterized protein
A0A0R0EX25		GLYMA.19G156700	A0A0R0EX25_SOYBN	Patatin (EC 3.1.1.-)
I1K1B6	XP_006579337.1;XP_006579338.1;	GLYMA.05G012300	I1K1B6_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
A0A0R0EY17	XP_014626758.1;	GLYMA.18G085500	A0A0R0EY17_SOYBN	Uncharacterized protein
K7LLW5		GLYMA.10G279800	K7LLW5_SOYBN	Diphosphomevalonate decarboxylase (EC 4.1.1.33)
I1MM65	XP_003547769.1;	GLYMA.16G084200	I1MM65_SOYBN	Lipase_3 domain-containing protein
I1K0N9		GLYMA.05G058300	I1K0N9_SOYBN	Autophagy-related protein
I1KNG1		GLYMA.07G262600	I1KNG1_SOYBN	Uncharacterized protein
I1MLD7		GLYMA.16G052000	I1MLD7_SOYBN	GP-PDE domain-containing protein
K7LWT6	XP_003543394.1;XP_006593522.1;	GLYMA.13G100000	K7LWT6_SOYBN	Uncharacterized protein
K7LDX2	XP_006587344.1;	GLYMA.09G143700	K7LDX2_SOYBN	Uncharacterized protein
K7KZV7		GLYMA.07G056800	K7KZV7_SOYBN	Lipase_3 domain-containing protein
A0A0R0JZV6	XP_014631061.1;	GLYMA.05G093000	A0A0R0JZV6_SOYBN	Uncharacterized protein
A0A0R0GA69		GLYMA.15G110200	A0A0R0GA69_SOYBN	Uncharacterized protein
I1JMJ6	XP_003521038.1;	GLYMA.03G103500	I1JMJ6_SOYBN	Uncharacterized protein
I1JT54	XP_003523638.1;	GLYMA.04G026500	I1JT54_SOYBN	AB hydrolase-1 domain-containing protein
I1KAL2		GLYMA.06G124000	I1KAL2_SOYBN	GLTP domain-containing protein
I1MSX5		GLYMA.17G069100	I1MSX5_SOYBN	Fatty acid hydroxylase domain-containing protein
C6T7M0	NP_001239760.1;	GLYMA.03G200300	C6T7M0_SOYBN	Uncharacterized protein
K7KC22		GLYMA.03G009100	K7KC22_SOYBN	Post-GPI attachment to proteins factor 3
A0A0R0KIV4		GLYMA.03G016600	A0A0R0KIV4_SOYBN	Uncharacterized protein
A0A0R0F6Q0		GLYMA.18G027100	A0A0R0F6Q0_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
I1M8K2	XP_003544451.1;	GLYMA.14G081200	I1M8K2_SOYBN	Patatin (EC 3.1.1.-)
I1M4R4	XP_003543495.1;	GLYMA.13G331600	I1M4R4_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1MCR1		GLYMA.15G016500	I1MCR1_SOYBN	Uncharacterized protein
I1J9T7	XP_003517411.2;	GLYMA.01G207500	I1J9T7_SOYBN	Acyl-coenzyme A oxidase
C6T3E3	NP_001235394.1;XP_006574362.1;	GLYMA.02G004000	C6T3E3_SOYBN	GLTP domain-containing protein
A0A0R0EKH1		GLYMA.20G081500	A0A0R0EKH1_SOYBN	Lipase_3 domain-containing protein
A0A0R0JAL9		GLYMA.06G017700	A0A0R0JAL9_SOYBN	SSD domain-containing protein
I1KHW5	XP_003529894.1;	GLYMA.07G056800	I1KHW5_SOYBN	Lipase_3 domain-containing protein
I1K6S2	XP_003525430.1;	GLYMA.05G201300	I1K6S2_SOYBN	Acyl carrier protein
C6T5Q4	NP_001235145.1;XP_006586756.1;	GLYMA.09G003900	C6T5Q4_SOYBN	Autophagy-related protein
A0A0R0JUF4	XP_006580956.1;	GLYMA.06G285900	A0A0R0JUF4_SOYBN	Uncharacterized protein
I1M596	NP_001237685.1;	GLYMA.13G347500	I1M596_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1K5D6	XP_006579400.1;	GLYMA.05G245000	I1K5D6_SOYBN	S5A_REDUCTASE domain-containing protein
A0A0R0ENK9	XP_014626869.1;	GLYMA.19G156700	A0A0R0ENK9_SOYBN	Patatin (EC 3.1.1.-)
I1NGD0	XP_003556040.1;XP_006606050.1;	GLYMA.20G144600	I1NGD0_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0H7G5		GLYMA.12G194400	A0A0R0H7G5_SOYBN	Uncharacterized protein
I1LAF1	XP_003535940.1;XP_006589031.1;	GLYMA.10G119200	I1LAF1_SOYBN	DUF676 domain-containing protein
I1KND4		GLYMA.07G261000	I1KND4_SOYBN	Autophagy-related protein
A0A0R0G923	XP_006595796.2;XP_006595797.2;XP_006595798.2;XP_006595800.2;	GLYMA.14G040300	A0A0R0G923_SOYBN	MlaD domain-containing protein
A0A0R0HFH7	XP_006592298.1;	GLYMA.12G084000	A0A0R0HFH7_SOYBN	Uncharacterized protein
K7MBT5	XP_003546425.2;	GLYMA.15G165000	K7MBT5_SOYBN	Uncharacterized protein
K7KB71	XP_006575617.1;XP_014625775.1;XP_014625777.1;	GLYMA.02G277900	K7KB71_SOYBN	Pyruvate carboxyltransferase domain-containing protein
I1LQ57	XP_003541072.1;	GLYMA.12G045400	I1LQ57_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (Oligosaccharyl transferase 48 kDa subunit)
A0A0R0LB34	XP_006572947.1;	GLYMA.01G011500	A0A0R0LB34_SOYBN	Lipase_3 domain-containing protein
A0A0R0F6U6		GLYMA.17G015200	A0A0R0F6U6_SOYBN	Patatin (EC 3.1.1.-)
K7M1D9		GLYMA.13G231100	K7M1D9_SOYBN	Lipase_3 domain-containing protein
K7K7I3	XP_014628473.1;	GLYMA.02G102700	K7K7I3_SOYBN	Uncharacterized protein
K7KJV3	XP_003523932.1;	GLYMA.04G129200	K7KJV3_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1JAP9	XP_003517561.1;	GLYMA.01G234700	I1JAP9_SOYBN	START domain-containing protein
I1MDU5		GLYMA.15G051100	I1MDU5_SOYBN	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]
I1NCS7		GLYMA.19G261600	I1NCS7_SOYBN	S5A_REDUCTASE domain-containing protein
A0A0R0FYJ7		GLYMA.15G097100	A0A0R0FYJ7_SOYBN	Lipase_3 domain-containing protein
A0A0R0FZA9		GLYMA.16G099700	A0A0R0FZA9_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0GIQ1		GLYMA.14G009700	A0A0R0GIQ1_SOYBN	Neutral ceramidase (EC 3.5.1.23)
I1KLK0	XP_003528455.2;	GLYMA.07G196800	I1KLK0_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0ECS1	XP_006606166.1;	GLYMA.20G167900	A0A0R0ECS1_SOYBN	Glyco_transf_28 domain-containing protein
I1NHX1	XP_006606333.1;	GLYMA.20G198000	I1NHX1_SOYBN	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)
I1KX04	XP_003531954.1;	GLYMA.08G268900	I1KX04_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7N0B1	XP_014627549.1;XP_014627551.1;XP_014627552.1;	GLYMA.19G255100	K7N0B1_SOYBN	Lipase_3 domain-containing protein
I1MR71	XP_003550500.1;	GLYMA.17G015200	I1MR71_SOYBN	Patatin (EC 3.1.1.-)
I1JKE1	XP_003521284.1;	GLYMA.03G016600	I1JKE1_SOYBN	Uncharacterized protein
K7M318	XP_003543433.1;	GLYMA.13G317600	K7M318_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
K7MYQ2	XP_003554291.1;	GLYMA.19G165800	K7MYQ2_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Ribophorin-2)
A0A0R0J5P5		GLYMA.08G318300	A0A0R0J5P5_SOYBN	Uncharacterized protein
I1LPS0		GLYMA.12G032400	I1LPS0_SOYBN	Uncharacterized protein
I1N9J5	XP_003554262.1;	GLYMA.19G158400	I1N9J5_SOYBN	AAI domain-containing protein
K7KN29	XP_006579627.1;	GLYMA.05G056800	K7KN29_SOYBN	PH domain-containing protein
K7MK19		GLYMA.17G051300	K7MK19_SOYBN	Uncharacterized protein
I1MBB2	XP_003544293.1;	GLYMA.14G193800	I1MBB2_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
A0A0R0G7L1		GLYMA.15G052200	A0A0R0G7L1_SOYBN	AAI domain-containing protein
A0A0R0IXM1		GLYMA.07G007700	A0A0R0IXM1_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0JWJ7		GLYMA.05G166400	A0A0R0JWJ7_SOYBN	START domain-containing protein
A0A0R0F0V8		GLYMA.19G236200	A0A0R0F0V8_SOYBN	Mevalonate kinase (MK) (EC 2.7.1.36)
K7MTS4	XP_003552303.1;	GLYMA.18G211900	K7MTS4_SOYBN	Uncharacterized protein
I1KYT7	XP_003530830.1;XP_006586184.1;	GLYMA.08G335200	I1KYT7_SOYBN	Neutral ceramidase (EC 3.5.1.23)
I1KSQ9	XP_003532794.1;	GLYMA.08G126700	I1KSQ9_SOYBN	Phospholipase D (EC 3.1.4.4)
A0A0R0K722		GLYMA.04G110300	A0A0R0K722_SOYBN	GP-PDE domain-containing protein
A0A0R0KH50	XP_014629157.1;	GLYMA.03G101700	A0A0R0KH50_SOYBN	Uncharacterized protein
I1MF79	XP_006597543.1;	GLYMA.15G098500	I1MF79_SOYBN	Acyl carrier protein
K7M3L6	XP_003543582.1;XP_006595084.1;XP_006595085.1;XP_014621592.1;XP_014621593.1;	GLYMA.13G348200	K7M3L6_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1LDT8	XP_003536477.1;XP_006589558.1;XP_006589559.1;	GLYMA.10G238100	I1LDT8_SOYBN	Uncharacterized protein
A0A0R0GJN2		GLYMA.14G123200	A0A0R0GJN2_SOYBN	GLTP domain-containing protein
A0A0R0EC60		GLYMA.20G167900	A0A0R0EC60_SOYBN	Glyco_transf_28 domain-containing protein
K7KXQ9	XP_006582261.1;	GLYMA.06G272200	K7KXQ9_SOYBN	Long-chain-alcohol oxidase (EC 1.1.3.20)
I1LWE6		GLYMA.13G069800	I1LWE6_SOYBN	Uncharacterized protein
I1L6S3	XP_003534599.1;	GLYMA.09G266600	I1L6S3_SOYBN	Uncharacterized protein
K7MZA9	XP_006604649.1;XP_014626976.1;XP_014626977.1;	GLYMA.19G197900	K7MZA9_SOYBN	Uncharacterized protein
I1NI74	XP_003556375.1;	GLYMA.20G207400	I1NI74_SOYBN	GLTP domain-containing protein
I1KF33	XP_003527440.1;	GLYMA.06G294900	I1KF33_SOYBN	Lipase_GDSL domain-containing protein
I1KDA1	XP_014632135.1;	GLYMA.06G214800	I1KDA1_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0GX65		GLYMA.13G325000	A0A0R0GX65_SOYBN	Uncharacterized protein
A0A0R0K0U0		GLYMA.05G242000	A0A0R0K0U0_SOYBN	Glyco_transf_28 domain-containing protein
K7LL62	XP_006589575.1;	GLYMA.10G241700	K7LL62_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1K884	XP_003525948.1;	GLYMA.06G047700	I1K884_SOYBN	Uncharacterized protein
K7L8K5	XP_003530420.1;	GLYMA.08G241300	K7L8K5_SOYBN	Sacchrp_dh_NADP domain-containing protein
I1LFY8	XP_006590439.1;	GLYMA.11G010000	I1LFY8_SOYBN	Steroid 5-alpha-reductase DET2 (EC 1.3.1.22)
I1L6R2	XP_003534596.1;XP_006587870.1;	GLYMA.09G265200	I1L6R2_SOYBN	Uncharacterized protein
I1L7C8	XP_003536489.1;	GLYMA.10G001800	I1L7C8_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1L731	XP_014617032.1;	GLYMA.09G277200	I1L731_SOYBN	Uncharacterized protein
A0A0R0HW91		GLYMA.11G185200	A0A0R0HW91_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
C6T165	NP_001235480.1;	GLYMA.07G129900	C6T165_SOYBN	Uncharacterized protein
I1LZL5	XP_014621058.1;	GLYMA.13G155100	I1LZL5_SOYBN	Uncharacterized protein
C6TB09	NP_001241396.1;	GLYMA.03G156100	C6TB09_SOYBN	AAI domain-containing protein
A0A0R0IXB3		GLYMA.08G202000	A0A0R0IXB3_SOYBN	Uncharacterized protein
C6TD75	NP_001239680.1;	GLYMA.19G261600	C6TD75_SOYBN	S5A_REDUCTASE domain-containing protein
I1LL54	XP_003538150.1;	GLYMA.11G145800	I1LL54_SOYBN	Uncharacterized protein
A0A0R0KAL6		GLYMA.05G242000	A0A0R0KAL6_SOYBN	Uncharacterized protein
K7MU39	XP_003552359.1;XP_006602766.1;XP_014626485.1;	GLYMA.18G225800	K7MU39_SOYBN	Uncharacterized protein
A0A0R0I9J9		GLYMA.10G279800	A0A0R0I9J9_SOYBN	Diphosphomevalonate decarboxylase (EC 4.1.1.33)
A0A0R0KV70		GLYMA.03G159000	A0A0R0KV70_SOYBN	Lipase_3 domain-containing protein
I1JMA5	XP_006576654.1;	GLYMA.03G091000	I1JMA5_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1JJF7	XP_003519608.1;	GLYMA.02G296400	I1JJF7_SOYBN	Uncharacterized protein
I1N5P8	XP_003553829.1;	GLYMA.19G007400	I1N5P8_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1L733	XP_014617033.1;	GLYMA.09G277200	I1L733_SOYBN	Uncharacterized protein
I1K476	XP_003524993.1;	GLYMA.05G166400	I1K476_SOYBN	Uncharacterized protein
I1LPK8	XP_003540643.1;XP_014619934.1;XP_014619935.1;	GLYMA.12G028200	I1LPK8_SOYBN	Uncharacterized protein
I1LKT6	XP_006591085.1;	GLYMA.11G185000	I1LKT6_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
I1LI59		GLYMA.11G081500	I1LI59_SOYBN	Phospholipase D (EC 3.1.4.4)
I1M5J0	XP_003543638.1;	GLYMA.13G357100	I1M5J0_SOYBN	Uncharacterized protein
I1L036	XP_006586613.1;XP_006586614.1;XP_006586615.1;XP_014635022.1;	GLYMA.09G014000	I1L036_SOYBN	Acyl carrier protein
I1KZI9	XP_003530907.1;	GLYMA.08G362700	I1KZI9_SOYBN	Lipase_3 domain-containing protein
I1L3F8	XP_014617665.1;	GLYMA.09G148500	I1L3F8_SOYBN	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)
I1NGA8	XP_003555330.2;	GLYMA.20G142200	I1NGA8_SOYBN	Uncharacterized protein
K7N2A2	XP_006605749.1;	GLYMA.20G081500	K7N2A2_SOYBN	C2 domain-containing protein
I1KHD4	XP_003529837.1;	GLYMA.07G040500	I1KHD4_SOYBN	Uncharacterized protein
I1MTY2	XP_003549700.1;	GLYMA.17G104200	I1MTY2_SOYBN	START domain-containing protein
K7MQD2	XP_003551333.1;XP_006602107.1;	GLYMA.18G068800	K7MQD2_SOYBN	Neutral ceramidase (EC 3.5.1.23)
I1J4N2	XP_003517654.1;	GLYMA.01G011600	I1J4N2_SOYBN	Lipase_3 domain-containing protein
I1L730	XP_014617031.1;	GLYMA.09G277200	I1L730_SOYBN	Uncharacterized protein
I1NFE0	XP_006605885.1;	GLYMA.20G111000	I1NFE0_SOYBN	FA_desaturase domain-containing protein
C6TNI2	NP_001240924.1;	GLYMA.01G186600	C6TNI2_SOYBN	Lipase_3 domain-containing protein
I1K7C8	XP_006581137.1;	GLYMA.06G017700	I1K7C8_SOYBN	SSD domain-containing protein
I1L0E4	XP_003535078.1;	GLYMA.09G023600	I1L0E4_SOYBN	Uncharacterized protein
I1NGF6	XP_003555341.1;	GLYMA.20G146800	I1NGF6_SOYBN	AAI domain-containing protein
C6T418	NP_001238528.1;	GLYMA.10G009300	C6T418_SOYBN	Autophagy-related protein
A0A0R0F5Q2	XP_003551837.1;	GLYMA.18G009200	A0A0R0F5Q2_SOYBN	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)
K7KEK6	XP_003521100.1;XP_006576765.1;XP_014629205.1;XP_014629206.1;XP_014629207.1;XP_014629208.1;XP_014629209.1;	GLYMA.03G121300	K7KEK6_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
I1L6A3	XP_006587807.1;	GLYMA.09G250400	I1L6A3_SOYBN	Uncharacterized protein
K7K9F9	XP_014623766.1;	GLYMA.02G190000	K7K9F9_SOYBN	PNPLA domain-containing protein
K7KHU8	XP_014630710.1;	GLYMA.04G031500	K7KHU8_SOYBN	AMP-binding domain-containing protein
K7K3X4	XP_006573467.1;	GLYMA.01G147800	K7K3X4_SOYBN	Uncharacterized protein
I1NE45	XP_003555620.1;	GLYMA.20G054000	I1NE45_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1KV67	XP_003533048.1;	GLYMA.08G204700	I1KV67_SOYBN	Uncharacterized protein
I1MSX4		GLYMA.17G069100	I1MSX4_SOYBN	Uncharacterized protein
A0A0R0EX84		GLYMA.18G068800	A0A0R0EX84_SOYBN	Neutral ceramidase (EC 3.5.1.23)
I1KUQ0	XP_003531596.1;	GLYMA.08G189200	I1KUQ0_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0IXW7		GLYMA.07G007700	A0A0R0IXW7_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1KYF2	XP_003530777.1;	GLYMA.08G324500	I1KYF2_SOYBN	Uncharacterized protein
A0A0R0EY16		GLYMA.18G085500	A0A0R0EY16_SOYBN	Uncharacterized protein
A0A0R0LCE1	XP_014617415.1;	GLYMA.01G013200	A0A0R0LCE1_SOYBN	Lipase_3 domain-containing protein
A0A0R0HFH5		GLYMA.12G174400	A0A0R0HFH5_SOYBN	START domain-containing protein
I1KRZ2	XP_003531181.1;	GLYMA.08G102100	I1KRZ2_SOYBN	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)
I1M6L4	XP_014622693.1;	GLYMA.14G017900	I1M6L4_SOYBN	Uncharacterized protein
K7LUH7	XP_003540985.2;	GLYMA.12G129200	K7LUH7_SOYBN	Lipase_3 domain-containing protein
K7MUZ9	XP_003551764.1;	GLYMA.18G269700	K7MUZ9_SOYBN	Uncharacterized protein
I1NDY2	XP_003555172.1;XP_006605605.1;XP_014628390.1;	GLYMA.20G043000	I1NDY2_SOYBN	Pyruvate carboxyltransferase domain-containing protein
C6T196	NP_001235889.1;	GLYMA.11G008000	C6T196_SOYBN	AAI domain-containing protein
I1J985	XP_003516603.2;	GLYMA.01G187900	I1J985_SOYBN	Uncharacterized protein
A0A0R0I9A1	XP_003536684.1;	GLYMA.10G274400	A0A0R0I9A1_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1MVX4	XP_003551028.2;	GLYMA.17G173800	I1MVX4_SOYBN	Lipase_3 domain-containing protein
I1N9S7	XP_003554295.1;	GLYMA.19G166500	I1N9S7_SOYBN	Long-chain-alcohol oxidase (EC 1.1.3.20)
K7LBF5	XP_014617344.1;	GLYMA.09G023600	K7LBF5_SOYBN	Uncharacterized protein
I1KLS6	XP_003528480.1;	GLYMA.07G204800	I1KLS6_SOYBN	Lipase_3 domain-containing protein
K7MGG6	XP_003548741.1;XP_006599229.1;	GLYMA.16G099700	K7MGG6_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7M796	XP_006596277.1;	GLYMA.14G123200	K7M796_SOYBN	GLTP domain-containing protein
A0A0R0L386	XP_014626165.1;	GLYMA.02G295500	A0A0R0L386_SOYBN	Uncharacterized protein
K7LF42		GLYMA.09G207900	K7LF42_SOYBN	Glycerol-3-phosphate acyltransferase, chloroplastic (GPAT) (EC 2.3.1.15)
A0A0R0HZP5		GLYMA.10G174700	A0A0R0HZP5_SOYBN	Uncharacterized protein
K7LSA1	XP_014619858.1;	GLYMA.12G006200	K7LSA1_SOYBN	Protein RFT1 homolog
I1JW97	XP_003522923.1;	GLYMA.04G151600	I1JW97_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
I1NIB0	XP_003555524.1;	GLYMA.20G210900	I1NIB0_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0EIX9		GLYMA.20G090900	A0A0R0EIX9_SOYBN	Saposin B-type domain-containing protein
A0A0R0KDM0		GLYMA.03G016600	A0A0R0KDM0_SOYBN	Uncharacterized protein
I1KIA9	XP_003529943.1;	GLYMA.07G071100	I1KIA9_SOYBN	Uncharacterized protein
K7LLN0	XP_003535710.2;	GLYMA.10G268200	K7LLN0_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
I1LHC8	XP_003538811.2;	GLYMA.11G054200	I1LHC8_SOYBN	Uncharacterized protein
I1NBM7	XP_006603753.1;	GLYMA.19G225500	I1NBM7_SOYBN	Uncharacterized protein
K7L7H7		GLYMA.08G184900	K7L7H7_SOYBN	PNPLA domain-containing protein
A0A0R0L285		GLYMA.02G267100	A0A0R0L285_SOYBN	Lipase
A0A0R0IV40	XP_006585576.1;	GLYMA.08G202000	A0A0R0IV40_SOYBN	Uncharacterized protein
I1LKT8	XP_003538130.1;	GLYMA.11G185200	I1LKT8_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
I1K9E8	XP_003526496.1;	GLYMA.06G086600	I1K9E8_SOYBN	Uncharacterized protein
I1KK99	XP_003530252.1;	GLYMA.07G144400	I1KK99_SOYBN	Steroid 5-alpha-reductase DET2 (EC 1.3.1.22)
A0A0R0GLR3		GLYMA.13G112700	A0A0R0GLR3_SOYBN	3-oxoacyl-[acyl-carrier-protein] synthase
C6TIQ9	NP_001240209.1;	GLYMA.01G207800	C6TIQ9_SOYBN	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]
K7K3X5	XP_003517072.1;	GLYMA.01G147800	K7K3X5_SOYBN	Uncharacterized protein
K7KYH9	XP_006582398.1;	GLYMA.06G315100	K7KYH9_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
C6SZ93	NP_001238401.1;	GLYMA.02G088900	C6SZ93_SOYBN	AAI domain-containing protein
C6T0R7	NP_001237805.1;	GLYMA.06G306300	C6T0R7_SOYBN	Autophagy-related protein
A0A0R0H7I0	XP_003540308.2;	GLYMA.12G194400	A0A0R0H7I0_SOYBN	Uncharacterized protein
I1M436	XP_003543387.1;XP_006594895.1;	GLYMA.13G308200	I1M436_SOYBN	Uncharacterized protein
I1L691	XP_003534503.1;	GLYMA.09G248900	I1L691_SOYBN	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
I1JDE0		GLYMA.02G081100	I1JDE0_SOYBN	S5A_REDUCTASE domain-containing protein
A0A0R0E9Y9		GLYMA.20G090900	A0A0R0E9Y9_SOYBN	Saposin B-type domain-containing protein
I1L033		GLYMA.09G014000	I1L033_SOYBN	Acyl carrier protein
A0A0R0HSS6	XP_006589064.1;	GLYMA.10G130800	A0A0R0HSS6_SOYBN	C2 domain-containing protein
C6SZE2	NP_001235044.1;XP_003534494.1;	GLYMA.09G247100	C6SZE2_SOYBN	Acyl carrier protein
K7L7K0		GLYMA.08G190400	K7L7K0_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1LFW1	XP_003537648.1;	GLYMA.11G008200	I1LFW1_SOYBN	START domain-containing protein
I1LHF4	XP_003538815.1;	GLYMA.11G056900	I1LHF4_SOYBN	Patatin (EC 3.1.1.-)
A0A0R0FFT1	XP_003551710.1;	GLYMA.18G251500	A0A0R0FFT1_SOYBN	Lipase_3 domain-containing protein
I1K7Y0	XP_003527713.1;	GLYMA.06G037900	I1K7Y0_SOYBN	Patatin (EC 3.1.1.-)
K7KM00		GLYMA.04G239900	K7KM00_SOYBN	GLTP domain-containing protein
I1KNB6	XP_003528680.1;	GLYMA.07G259000	I1KNB6_SOYBN	Patatin (EC 3.1.1.-)
A0A0R0JJ08		GLYMA.06G065600	A0A0R0JJ08_SOYBN	Flotillin-like
I1LZM9	XP_003542620.1;	GLYMA.13G156600	I1LZM9_SOYBN	START domain-containing protein
A0A0R0GHM2		GLYMA.13G030300	A0A0R0GHM2_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1NFB9	XP_003555870.1;	GLYMA.20G109900	I1NFB9_SOYBN	Diphosphomevalonate decarboxylase (EC 4.1.1.33)
K7LQ72	XP_003539173.1;	GLYMA.11G185100	K7LQ72_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
I1J5D5		GLYMA.01G035100	I1J5D5_SOYBN	Fatty acid hydroxylase domain-containing protein
I1MGV2	XP_003546392.1;	GLYMA.15G157800	I1MGV2_SOYBN	Uncharacterized protein
A0A0R0HWK1		GLYMA.10G035200	A0A0R0HWK1_SOYBN	Lipase_3 domain-containing protein (Fragment)
A0A0R0IPU8		GLYMA.08G201900	A0A0R0IPU8_SOYBN	Uncharacterized protein
I1KVY8		GLYMA.08G228800	I1KVY8_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1MUZ8		GLYMA.17G140700	I1MUZ8_SOYBN	Autophagy-related protein
I1L6F3	XP_003534537.1;	GLYMA.09G254500	I1L6F3_SOYBN	DAGKc domain-containing protein
A0A0R0ESZ5		GLYMA.20G248000	A0A0R0ESZ5_SOYBN	Lipase_3 domain-containing protein
A0A0R0HXI2		GLYMA.10G130800	A0A0R0HXI2_SOYBN	Lipase_3 domain-containing protein
K7MVX6	XP_006603835.1;	GLYMA.19G013200	K7MVX6_SOYBN	Uncharacterized protein
I1J4A2		GLYMA.01G001300	I1J4A2_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
I1KBS1	XP_003528078.2;	GLYMA.06G159600	I1KBS1_SOYBN	PH domain-containing protein
I1LQG7	XP_003539375.1;	GLYMA.12G054700	I1LQG7_SOYBN	Lipoxygenase (EC 1.13.11.-)
C6T456	NP_001235230.1;	GLYMA.19G240100	C6T456_SOYBN	Acyl carrier protein
I1KH92	XP_003528441.1;	GLYMA.07G036400	I1KH92_SOYBN	Uncharacterized protein
K7KCB9	XP_003521498.1;	GLYMA.03G020800	K7KCB9_SOYBN	Uncharacterized protein
A0A0R0EQX4		GLYMA.20G248000	A0A0R0EQX4_SOYBN	Lipase_3 domain-containing protein
I1N982	XP_006604385.1;XP_014627262.1;	GLYMA.19G147400	I1N982_SOYBN	Uncharacterized protein
K7L766	XP_014634520.1;	GLYMA.08G167700	K7L766_SOYBN	Abhydro_lipase domain-containing protein
